director_name,director_avg_score,director_movie_count
paul thomas anderson,7.074362964403813,9.0
david leland,6.205868785950483,2.0
j blakeson,6.25684691694223,1.0
ryan coogler,6.826786833517042,4.0
kirk jones,6.534108150165338,5.0
ethan coen,6.845090125137781,7.0
jennifer flackett,6.390180250275563,1.0
kevin smith,6.537710676567846,12.0
christian ditter,6.4068469169422295,1.0
charles martin smith,6.342635187706672,3.0
fedor bondarchuk,6.273513583608896,1.0
irvin kershner,6.76301164309334,2.0
steve pink,6.242635187706672,3.0
scott hicks,6.654108150165338,5.0
chris rock,6.217635187706672,3.0
wilson yip,6.590180250275563,1.0
robert wise,6.742635187706672,3.0
kevin rodney sullivan,6.180135187706672,3.0
kevin munroe,6.248725928807625,2.0
michael tollin,6.305868785950482,2.0
patrick tatopoulos,6.4901802502755634,1.0
gary david goldberg,6.373513583608896,1.0
tobe hooper,6.434108150165338,5.0
alan poul,6.273513583608896,1.0
luke greenfield,6.260120166850375,4.0
gil junger,6.334440214521911,2.0
michael ritchie,6.367635187706672,3.0
steven e. de souza,6.023513583608896,1.0
alexandre aja,6.3601201668503755,4.0
michael rymer,6.234440214521911,2.0
hugh wilson,6.1823423890725975,4.0
mike hodges,6.456846916942229,1.0
scott mann,6.4068469169422295,1.0
susanna white,6.405868785950482,2.0
chris carter,6.373513583608896,1.0
tommy o'haver,6.348725928807625,2.0
peter landesman,6.5735135836088965,1.0
gary chapman,6.3235135836088965,1.0
craig mazin,6.120154500236197,2.0
allen hughes,6.423513583608897,1.0
kimble rendall,6.25684691694223,1.0
peter yates,6.390180250275563,1.0
lasse hallström,6.88150582154667,9.0
jean-marc vallée,6.842635187706672,3.0
hark tsui,6.190180250275563,1.0
lexi alexander,6.390180250275563,1.0
ronny yu,6.037897944628153,4.0
bille august,6.548725928807626,2.0
moustapha akkad,6.790180250275562,1.0
jean-paul rappeneau,6.620154500236197,2.0
joachim rønning,6.36301164309334,2.0
tony kaye,7.055135187706672,3.0
ken scott,6.305868785950482,2.0
hugh johnson,6.25684691694223,1.0
hayao miyazaki,7.249009055739265,4.0
george tillman jr.,6.671231277961486,4.0
rand ravich,6.273513583608896,1.0
hugh hudson,6.448725928807625,2.0
jeremy degruson,6.440180250275563,1.0
chris gorak,6.206846916942229,1.0
scott speer,6.473513583608896,1.0
joe charbanic,6.273513583608896,1.0
jonathan hensleigh,6.473513583608896,1.0
danny cannon,6.248725928807625,2.0
boaz yakin,6.680135187706672,3.0
richard marquand,6.790180250275562,1.0
neil marshall,6.492635187706672,3.0
david wain,6.149009055739264,4.0
jared hess,6.3801351877066725,3.0
rupert wainwright,6.423513583608897,1.0
john luessenhop,6.191583071664768,2.0
justin zackham,6.3235135836088965,1.0
john gatins,6.540180250275562,1.0
miguel sapochnik,6.440180250275563,1.0
hyung-rae shim,5.648725928807626,2.0
don scardino,6.373513583608896,1.0
tim robbins,6.691583071664768,2.0
tom reeve,6.340180250275563,1.0
nanette burstein,6.440180250275563,1.0
ariel vromen,6.505868785950483,2.0
lewis gilbert,6.580135187706672,3.0
john francis daley,6.4772973573790535,2.0
j.b. rogers,6.234440214521911,2.0
michael sucsy,6.523513583608896,1.0
tom vaughan,6.420154500236197,2.0
stephen hillenburg,6.55684691694223,1.0
stig bergqvist,6.4068469169422295,1.0
jason reitman,6.804108150165338,5.0
alexander payne,6.840098318332125,6.0
jonathan levine,6.615675722405931,4.0
rian johnson,6.705135187706672,3.0
chris noonan,6.591583071664767,2.0
michael mccullers,6.390180250275563,1.0
forest whitaker,6.373513583608896,1.0
woody allen,6.90892894450568,22.0
peter lepeniotis,6.356846916942229,1.0
ted demme,6.6568469169422295,1.0
william shatner,6.290180250275562,1.0
steve box,6.640180250275563,1.0
james gartner,6.590180250275563,1.0
